F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
22.419,-5.052,9179.01,2.394,-58.92,-5404.96,4.40693,-3.2322,-4.9938,0,-2049.13,5.95576,-3649.27,-6.7488,-2141.76,0,10.2728,3501.2,2.04,16357.41,,True
12.12414,-4.1046,4746.81,0.5664,-47.24,-5423.22,4.7078,-2.7708,-4.6814,1,-2848.56,-0.444,4355.41,-14.178,-1706.22,0,13.998,3658.88,2.04,12350.85,,False
13.4721,-3.8719,10700.82,2.47,-15.01,-5334.18,4.4282,-5.007,-6.239,0,-1899.46,3.818,-3277.69,-7.728,-2513.25,0,11.778,3864.3,2.04,11482.11,,True
12.603,-3.7919,10553.667,2.344,-28.216,-5446.24,8.594,-4.1715,-5.0865,0,-2246.86,5.3056,-2058.59,-5.5731,-2207.67,0,10.1102,2182.8,2.04,12662.52,,True
19.836,-4.642,6456.81,7.806,-45.62,-5460.67,4.7898,-1.6536,-4.7637,0,-2065.22,9.943,-3813.58,-3.8289,507.78,0,10.3512,3246.4,2.04,12121.71,15.52,False
14.9697,-4.0793,10762.56,0.4476,-19.84,-5444.34,5.466,-2.2077,-5.675,1,-1794.06,1.39,-3920.09,-3.787626,-2538.12,0,10.1394,3303.8,0.04,12379.47,,False
17.268,-4.776,9206.91,1.875,-45.64,-5453.266,4.7786,-1.7625,-5.0499,0,-2017.82,7.562,-3823.55,-10.041,-1244.22,0,11.68,3680.84,0.04,12470.55,16,False
12.6432,-4.979,10303.14,0.6718,-21.54,-5447.28,4.4735,-7.227,-8.182,0,-1224.06,3.018,-2568.59,-7.269,-2345.79,1,14.478,4010.8,0.04,10778.01,16.22,True
14.4957,-6.489,9692.01,2.922,-21.534,-5518.76,5.867,-1.7043,-5.2254,0,-1948.21,9.256,-3906.19,-5.6652,-1999.92,0,9.7122,3762.788,0.04,12701.73,,False
12.9063,-4.947,11213.01,5.82,-39.42,-5474.49,4.7797,-6.372,-4.7787,1,-2015.71,13.083,-2354.59,-3.81456,-2416.908,0,11.044,3738.098,2.04,12451.89,14.95,True
15.042,-3.6367,11361.51,0.8242,-20.69,-5475.638,5.163,-3.5508,-4.839,1,-2121.14,1.382,-3679.11,-5.2539,-2386.059,0,10.6434,3361.2,0.04,12400.08,13.96,False
12.6717,-3.8645,10848.06,0.6016,-18.848,-5464.298,5.589,-11.22,-4.9837,0,-2354.36,-4.99,-4020.59,-12.384,-2402.181,0,11.336,3165,0.04,12923.61,14.17,False
12.13362,-4.1831,10700.37,1.1188,-21.7,-5461.308,5.1664,-3.8118,-5.615,0,-2557.46,0.964,3319.41,-3.92619,-2192.88,0,9.687,1166,2.04,13001.61,,True
12.6039,-3.9319,11310.51,5.608,-29.09,-5497.9,5.519,-1.9803,-4.9421,1,-2020.671,5.7014,-2073.59,-3.83232,-2611.11,0,9.8984,3406.2,2.04,12564.612,,False
13.6401,-4.4825,10046.31,1.0464,-15.376,-5439.72,4.6186,-4.1136,-6.072,0,-2373.86,16.8,-3018.79,-3.793731,-2023.32,1,10.0062,3395,0.04,12387.09,15.35,True
14.3373,-4.034,10391.94,3.97,-13.704,-5467.24,5.1765,-1.6527,-7.619,1,-1974.19,13.12,-3854.69,-6.795,-1952.82,0,11.136,3769.38,2.04,12744.69,15.73,True
13.7703,-4.0191,11142.51,5.808,-21.762,-5500.32,4.4672,-1.9242,-5.1203,0,-2085.41,-1.719,-3850.79,-3.99789,-2185.98,0,9.6942,1054,0.04,15262.11,,False
13.0374,-4.127,10275.42,6.984,-50.6,-5627.42,5.0337,-1.47132,-7.123,0,-1997.6,3.826,-4143.49,-3.7829079,-1172.52,0,11.62,3692.54,2.04,13280.31,,False
14.4933,-5.204,4485.81,1.564,-18.424,-5487.098,5.405,-3.5721,-4.64459,0,-2158.26,6.6304,-3624.39,-4.05042,-2096.52,0,12.718,3637.28,2.04,12369,15.39,False
15.324,-4.2235,5301.81,0.4432,-16.594,-5421.28,5.653,-3.5463,-4.6833,0,-2820.46,5.2053,-3461.49,-5.8617,-2028.12,0,10.2288,3475.6,0.04,12482.4,15.44,True
18.492,-5.315,21120.81,0.5052,-50.14,-5431.88,5.837,-4.305,-4.65261,0,-2240.86,5.7477,-3494.29,-7.611,-2519.4,0,9.6638,2948.6,2.04,12339.54,,True
13.7985,-4.2454,13746.81,1.3464,-54.08,-5433.54,4.8086,-9.687,-4.7234,0,-1752.36,13.418,-3105.39,-3.7803534,-2506.53,0,17.974,3706.9,2.04,14105.01,15.61,True
19.617,-3.6059,2001.81,0.6792,-17.05,-5478.04,4.787,-2.9994,-4.63503,0,-1588.46,12.304,-3588.19,-5.8113,-2332.59,1,11.388,3846.68,2.04,13631.31,,True
19.527,-4.1763,9902.31,0.6066,-61.12,-5378.9,4.8355,-2.1981,-5.571,0,-2835.86,7.279,-3592.59,-4.7694,-1367.82,1,12.036,3426.2,0.04,13366.11,,True
16.245,-4.5065,9992.91,0.8644,-72.82,-5467.953,4.40959,-2.3391,-5.3543,1,-1726.06,6.004,-3518.99,-4.2645,-2333.28,1,9.8982,3908.68,2.04,17023.41,15.99,True
14.2653,-3.58199,8980.71,2.35,-22.846,-5458.746,5.446,-4.2426,-4.9502,0,-2103.39,5.4694,-3430.79,-3.7810794,-2148.66,0,10.6388,3564.64,0.04,12522.909,,True
13.8468,-4.1918,12791.01,3.774,-52.2,-5441.42,6.8,-2.5773,-4.6835,1,-1974.07,9.802,-3170.29,-4.1151,-2725.92,1,13.708,3692.08,2.04,12709.77,,True
14.2788,-3.54546,10716.51,4.476,-40.64,-5616.1,4.7132,-2.9253,-6.112,0,-1989.55,14.189,-3861.39,-4.3569,-2568.09,0,12.488,3678.2,2.04,12202.41,,False
12.24417,-4.936,10811.64,1.0444,-32.56,-5524.56,4.5897,-1.7928,-5.1395,0,-1985.08,6.8697,1568.41,-6.1503,-2423.979,1,13.372,3731.634,2.04,12457.17,13.38,False
12.3771,-4.797,10213.71,1.6208,-32.308,-5465.566,4.9093,-3.4329,-5.3362,1,-2003.71,10.313,-2756.49,-3.99768,-2290.2,1,10.0528,3580.98,2.04,12594.12,15.51,True
16.575,-4.0782,12502.41,0.9576,-35.46,-5508.48,4.4279,-5.295,-4.66049,0,-1805.86,5.6612,-3775.44,-3.90084,-2492.64,0,9.7146,2971.2,2.04,15434.31,14.3,False
24.216,-4.3919,10690.23,2.159,-17.326,-5492.08,5.4,-2.1462,-5.4533,1,-2114.08,9.213,-3659.45,-4.1397,-2110.29,0,9.7744,2844,0.04,12505.569,,True
18.117,-3.8222,12370.11,1.4056,-20.394,-5389.6,4.8012,-3.4314,-4.8904,1,-2129.86,8.668,-3595.99,-8.967,-2465.73,1,9.8158,2729.4,2.04,12313.14,,False
18.657,-4.3951,10872.51,2.1242,-32.41,-5462.112,4.8171,-2.7273,-5.5027,1,-1924.56,10.602,-3812.5,-3.797628,-2716.62,0,9.2728,1502,0.04,13016.61,,False
16.17,-3.9403,6870.81,0.7386,-24.214,-5467.054,8.679,-1.55649,-4.766,1,-2513.96,8.589,-3848.09,-8.862,1249.08,0,10.731,3284,0.04,12525.168,13.8,False
13.4412,-4.436,9255.21,7.15,-23.218,-5528.5,4.9159,-6.879,-4.7103,1,-2093.23,13.645,-2955.99,-5.9145,-2278.11,1,12.098,3301.4,0.04,13142.91,,True
13.5912,-4.852,8714.91,1.3954,-72.66,-5502.42,4.4998,-4.2684,-4.9257,0,-2189.06,6.3251,-3273.49,-3.7826847,-2126.31,0,10.033,3389.6,2.04,12705.48,,True
13.2897,-4.3119,9249.81,0.5214,-21.524,-5491.7,4.7553,-2.514,-4.7968,0,-3071.76,-0.087,-3008.29,-3.83856,-1778.52,0,12.758,3476.8,0.04,12863.01,,True
14.4432,-3.755,8253.51,4.722,-22.16,-5382.18,4.6753,-6.552,-5.0585,1,-1958.3,4.284,-3197.69,-6.798,-2303.88,0,10.6624,4472.8,0.04,12818.49,,True
13.6476,-5.043,10260.63,5.648,-14.3158,-5465.944,5.041,-1.7367,-6.392,1,-2105.17,0.412,-3708.69,-6.855,-208.62,0,9.518,1332,0.04,12708.78,14.12,False
21.48,-3.8824,10904.61,0.6184,-26.704,-5579.02,6.072,-4.884,-5.247,0,-1314.36,3.134,-3756.41,-3.84555,-2538.78,1,12.516,3764.314,0.04,12512.289,15,False
12.7077,-5.232,10878.81,0.4776,-19.542,-5480.58,5.473,-3.3327,-5.964,1,-855.76,9.858,-1673.59,-5.9781,-2816.22,1,11.35,3700.02,0.04,13181.61,,True
20.025,-4.76,10017.51,0.4528,-32.378,-5410.82,4.5563,-1.7931,-5.8,0,-1248.16,3.983,-3624.89,-3.7800958,-1697.22,1,9.866,4609.8,0.04,12159.81,,True
12.12813,-3.7772,2568.81,3.646,-60.9,-5438.9,4.8884,-2.4447,-4.64541,1,-1932.94,15.25,-3596.99,-4.07433,-2264.76,1,10.392,4268.8,0.04,12337.56,14.53,False
